Mats,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0s,4s,6s,Opposition Team,Player Name,Total Boundaries,Century,Half Century,Avg SR,Overall Performance,Performance Class
6,6,2,468,208,117.0,409,114.42,2,1,0,45,18, New Zealand,Aasif Sheikh,63,1,1,91.44200000000001,46.7326,High
4,4,2,293,110,146.5,300,97.66,1,2,0,27,6, P.N.G.,Aasif Sheikh,33,1,1,107.83,42.648999999999994,High
3,3,1,283,166,141.5,206,137.37,2,0,0,26,9, Sri Lanka,Aasif Sheikh,35,1,0,108.19000000000001,43.157,High
3,3,0,278,162,92.66,276,100.72,2,0,0,28,4, Sri Lanka,Aasif Sheikh,32,1,0,108.19000000000001,42.257,High
4,4,1,277,133,92.33,284,97.53,2,0,0,26,6, Nepal,Aasif Sheikh,32,1,0,84.58999999999999,35.17699999999999,High
4,4,1,261,101,87.0,268,97.38,1,2,0,12,17, Nepal,Aasif Sheikh,29,1,1,84.58999999999999,34.47699999999999,High
3,3,1,261,131,130.5,250,104.4,1,1,0,18,10, South Africa,Aasif Sheikh,28,1,1,105.05,40.315,High
3,3,0,240,152,80.0,215,111.62,1,1,0,29,5, England,Aasif Sheikh,34,1,1,104.41857142857144,41.92557142857143,High
2,2,1,226,175,226.0,165,136.96,1,1,0,24,8, Netherlands,Aasif Sheikh,32,1,1,136.96,51.088,High
6,5,1,217,138,54.25,225,96.44,1,0,0,24,8, India,Aasif Sheikh,32,1,0,114.68166666666667,44.204499999999996,High
1,1,0,210,210,210.0,131,160.3,1,0,0,24,10, Bangladesh,Aasif Sheikh,34,1,0,127.69500000000001,48.7085,High
3,3,0,208,106,69.33,203,102.46,1,1,0,20,3, England,Aasif Sheikh,23,1,1,104.41857142857144,38.625571428571426,High
3,3,0,207,116,69.0,169,122.48,1,1,0,30,2, Sri Lanka,Aasif Sheikh,32,1,1,108.19000000000001,42.457,High
4,4,0,203,119,50.75,156,130.12,1,0,0,16,15, P.N.G.,Aasif Sheikh,31,1,0,107.83,41.849,High
4,4,0,195,75,48.75,242,80.57,0,2,0,18,6, Namibia,Aasif Sheikh,24,0,1,87.67,33.701,High
3,3,1,195,94,97.5,208,93.75,0,2,0,16,2, England,Aasif Sheikh,18,0,1,104.41857142857144,36.92557142857143,High
3,3,1,194,81,97.0,148,131.08,0,2,0,24,12, India,Aasif Sheikh,36,0,1,114.68166666666667,45.4045,High
3,3,2,191,113,191.0,171,111.69,1,1,0,26,2, South Africa,Aasif Sheikh,28,1,1,105.05,40.315,High
7,7,0,190,94,27.14,330,57.57,0,1,2,19,2, Nepal,Aasif Sheikh,21,0,1,84.58999999999999,31.876999999999995,High
3,3,0,189,118,63.0,184,102.71,1,1,0,17,7, South Africa,Aasif Sheikh,24,1,1,105.05,39.114999999999995,High
4,3,0,188,140,62.66,130,144.61,1,0,0,19,11, India,Aasif Sheikh,30,1,0,114.68166666666667,43.6045,High
3,3,0,186,101,62.0,173,107.51,1,1,0,20,10, New Zealand,Aasif Sheikh,30,1,1,91.44200000000001,36.8326,High
4,4,1,182,81,60.66,230,79.13,0,2,0,17,1, U.A.E.,Aasif Sheikh,18,0,1,76.19399999999999,28.458199999999998,Other
3,3,1,182,77,91.0,210,86.66,0,2,0,14,1, New Zealand,Aasif Sheikh,15,0,1,91.44200000000001,32.132600000000004,High
3,3,0,180,109,60.0,157,114.64,1,0,0,23,3, England,Aasif Sheikh,26,1,0,104.41857142857144,39.32557142857143,High
3,2,1,176,101,176.0,170,103.52,1,1,0,15,2, Zimbabwe,Aasif Sheikh,17,1,1,88.145,31.943499999999997,High
6,5,2,171,52,57.0,238,71.84,0,1,1,12,1, U.A.E.,Aasif Sheikh,13,0,1,76.19399999999999,26.958199999999998,Other
6,4,1,170,145,56.66,168,101.19,1,0,1,22,5, India,Aasif Sheikh,27,1,0,114.68166666666667,42.704499999999996,High
7,7,0,169,63,24.14,159,106.28,0,2,2,12,12, Nepal,Aasif Sheikh,24,0,1,84.58999999999999,32.776999999999994,High
3,3,0,166,70,55.33,212,78.3,0,2,0,20,0, U.A.E.,Aasif Sheikh,20,0,1,76.19399999999999,29.058199999999996,High
4,4,0,165,72,41.25,195,84.61,0,1,0,15,3, Namibia,Aasif Sheikh,18,0,1,87.67,31.900999999999996,High
4,4,1,165,95,55.0,211,78.19,0,1,0,12,6, Scotland,Aasif Sheikh,18,0,1,70.99666666666667,26.899,Other
7,7,1,165,53,27.5,286,57.69,0,2,0,15,0, Nepal,Aasif Sheikh,15,0,1,84.58999999999999,30.076999999999995,High
3,3,0,164,85,54.66,207,79.22,0,2,0,15,0, Pakistan,Aasif Sheikh,15,0,1,88.025,31.1075,High
4,4,1,159,96,53.0,204,77.94,0,1,1,14,5, Scotland,Aasif Sheikh,19,0,1,70.99666666666667,27.198999999999998,Other
3,3,1,159,103,79.5,146,108.9,1,1,0,19,8, Namibia,Aasif Sheikh,27,1,1,87.67,34.800999999999995,High
3,3,0,157,101,52.33,203,77.33,1,1,1,17,1, New Zealand,Aasif Sheikh,18,1,1,91.44200000000001,33.2326,High
3,3,0,155,132,51.66,163,95.09,1,0,0,22,1, Bangladesh,Aasif Sheikh,23,1,0,127.69500000000001,45.408500000000004,High
3,3,0,154,111,51.33,163,94.47,1,0,0,9,2, England,Aasif Sheikh,11,1,0,104.41857142857144,34.82557142857143,High
3,3,0,153,101,51.0,158,96.83,1,1,1,18,2, Pakistan,Aasif Sheikh,20,1,1,88.025,32.807500000000005,High
3,3,0,149,79,49.66,209,71.29,0,2,0,14,2, New Zealand,Aasif Sheikh,16,0,1,91.44200000000001,32.4326,High
6,5,2,147,50,49.0,181,81.21,0,1,0,10,7, U.A.E.,Aasif Sheikh,17,0,1,76.19399999999999,28.158199999999997,Other
3,3,1,146,70,73.0,140,104.28,0,2,0,15,4, Ireland,Aasif Sheikh,19,0,1,130.06666666666666,44.919999999999995,High
1,1,0,144,144,144.0,118,122.03,1,0,0,11,7, West Indies,Aasif Sheikh,18,1,0,122.03,42.209,High
2,2,1,144,128,144.0,142,101.4,1,0,0,6,7, South Africa,Aasif Sheikh,13,1,0,105.05,35.614999999999995,High
3,2,1,144,100,144.0,86,167.44,1,0,0,17,5, Ireland,Aasif Sheikh,22,1,0,130.06666666666666,45.81999999999999,High
3,3,0,142,83,47.33,137,103.64,0,1,0,13,7, Sri Lanka,Aasif Sheikh,20,0,1,108.19000000000001,38.657000000000004,High
3,3,2,141,100,141.0,127,111.02,1,0,0,12,6, India,Aasif Sheikh,18,1,0,114.68166666666667,40.0045,High
3,3,0,141,75,47.0,152,92.76,0,2,0,13,0, England,Aasif Sheikh,13,0,1,104.41857142857144,35.42557142857143,High
3,2,0,141,92,70.5,119,118.48,0,1,0,12,3, Ireland,Aasif Sheikh,15,0,1,130.06666666666666,43.72,High
3,3,0,139,81,46.33,191,72.77,0,1,0,13,2, Zimbabwe,Aasif Sheikh,15,0,1,88.145,31.143499999999996,High
3,3,1,138,74,69.0,133,103.75,0,1,0,12,4, India,Aasif Sheikh,16,0,1,114.68166666666667,39.4045,High
3,3,0,137,80,45.66,113,121.23,0,1,0,10,4, England,Aasif Sheikh,14,0,1,104.41857142857144,35.72557142857143,High
3,3,0,136,134,45.33,135,100.74,1,0,1,12,4, Australia,Aasif Sheikh,16,1,0,100.74,35.221999999999994,High
4,4,0,134,56,33.5,140,95.71,0,1,1,15,2, P.N.G.,Aasif Sheikh,17,0,1,107.83,37.648999999999994,High
4,4,1,133,46,44.33,146,91.09,0,0,0,18,0, Nepal,Aasif Sheikh,18,0,0,84.58999999999999,30.776999999999994,High
4,4,0,132,115,33.0,137,96.35,1,0,0,10,5, Namibia,Aasif Sheikh,15,1,0,87.67,31.000999999999998,High
3,3,0,132,58,44.0,172,76.74,0,2,0,13,0, Sri Lanka,Aasif Sheikh,13,0,1,108.19000000000001,36.557,High
7,7,1,129,88,21.5,183,70.49,0,1,2,17,0, U.A.E.,Aasif Sheikh,17,0,1,76.19399999999999,28.158199999999997,Other
3,2,0,129,80,64.5,135,95.55,0,1,0,12,4, New Zealand,SS Iyer,16,0,1,95.55,33.665,High
4,3,1,129,107,64.5,116,111.2,1,0,1,6,9, Nepal,MA Leask,15,1,0,111.2,38.06,High
4,4,0,128,54,32.0,194,65.97,0,2,0,13,0, Scotland,L Louwrens,13,0,1,65.97,23.891,Other
3,3,1,128,110,64.0,127,100.78,1,0,1,11,3, Zimbabwe,AT Nidamanuru,14,1,0,100.78,34.634,High
3,3,0,127,113,42.33,112,113.39,1,0,0,13,2, Bangladesh, Kohli,15,1,0,113.39,38.717,High
3,2,0,126,74,63.0,155,81.29,0,2,0,11,0, Netherlands,C Madande,11,0,1,81.29,27.887,Other
3,3,0,126,68,42.0,140,90.0,0,2,0,14,4, Sri Lanka,Rahmanullah Gurbaz,18,0,1,90.0,32.6,High
3,3,1,125,114,62.5,166,75.3,1,0,1,8,4, Bangladesh,DJ Malan,12,1,0,75.3,26.39,Other
3,3,0,125,77,41.66,109,114.67,0,1,0,14,2, Sri Lanka,Najibullah Zadran,16,0,1,114.67,39.400999999999996,High
4,3,0,124,56,41.33,184,67.39,0,2,0,3,5, Nepal,MG Erasmus,8,0,1,67.39,22.817,Other
3,3,1,124,58,62.0,100,124.0,0,2,0,7,5, England,DA Miller,12,0,1,124.0,40.99999999999999,High
4,4,0,123,55,30.75,183,67.21,0,1,0,15,3, U.A.E.,K Doriga,18,0,1,67.21,25.762999999999998,Other
3,3,0,123,93,41.0,139,88.48,0,1,0,9,7, South Africa,Ishan Kishan,16,0,1,88.48,31.544,High
3,3,1,123,85,61.5,146,84.24,0,1,0,13,0, Afghanistan,P Nissanka,13,0,1,84.24,29.372,High
3,3,0,123,113,41.0,117,105.12,1,0,0,12,4, South Africa,JJ Roy,16,1,0,105.12,36.536,High
2,2,0,123,94,61.5,132,93.18,0,1,0,11,4, U.S.A.,A ala,15,0,1,93.18,32.654,High
7,7,1,122,54,20.33,168,72.61,0,1,1,9,3, U.A.E.,DS Airee,12,0,1,72.61,25.583,Other
3,3,0,122,60,40.66,93,131.18,0,1,0,19,4, Nepal,HG Munsey,23,0,1,131.18,46.454,High
1,1,1,121,121,0.0,137,88.32,1,0,0,13,3, Zimbabwe,A Balbirnie,16,1,0,88.32,31.496,High
3,3,1,121,108,60.5,118,102.54,1,0,0,14,3, India,MD Shanaka,17,1,0,102.54,36.062,High
2,2,0,120,77,60.0,126,95.23,0,1,0,14,0, Netherlands,SC Williams,14,0,1,95.23,32.969,High
6,5,0,119,57,23.8,125,95.2,0,1,2,17,3, India,FH Allen,20,0,1,95.2,34.76,High
1,1,1,119,119,0.0,61,195.08,1,0,0,15,5, West Indies,H Klaasen,20,1,0,195.08,64.724,High
4,3,1,118,75,59.0,92,128.26,0,1,0,15,2, Nepal,ZE Green,17,0,1,128.26,43.77799999999999,High
3,3,3,118,86,0.0,103,114.56,0,1,0,10,4, South Africa,S Samson,14,0,1,114.56,38.768,High
6,3,0,118,57,39.33,113,104.42,0,1,0,13,3, India,MJ Santner,16,0,1,104.42,36.326,High
3,3,2,117,75,117.0,105,111.42,0,1,0,10,3, India,DA Miller,13,0,1,111.42,37.526,High
6,6,1,116,54,23.2,145,80.0,0,1,0,10,4, Nepal,Aayan Afzal Khan,14,0,1,80.0,28.4,Other
2,2,0,116,66,58.0,134,86.56,0,2,0,12,1, P.N.G.,MD Patel,13,0,1,86.56,30.067999999999998,High
3,3,1,116,75,58.0,153,75.81,0,1,0,10,2, Australia,KL Rahul,12,0,1,75.81,26.543,Other
3,3,0,115,50,38.33,163,70.55,0,1,0,8,0, Zimbabwe,CN Ackermann,8,0,1,70.55,23.765,Other
4,4,1,115,85,38.33,175,65.71,0,1,0,11,1, Scotland,DS Airee,12,0,1,65.71,23.512999999999998,Other
7,7,0,113,77,16.14,188,60.1,0,1,1,14,0, U.A.E.,RK Paudel,14,0,1,60.1,22.43,Other
2,2,1,112,86,112.0,141,79.43,0,1,0,13,1, Sri Lanka,WA Young,14,0,1,79.43,28.229,Other
3,3,0,111,76,37.0,98,113.26,0,1,0,6,2, Bangladesh,JC Buttler,8,0,1,113.26,36.578,High
3,3,0,111,77,37.0,157,70.7,0,1,0,8,1, India,Mahmudullah,9,0,1,70.7,24.11,Other
3,3,0,111,58,37.0,154,72.07,0,2,1,11,0, England,Najmul Hossain Shanto,11,0,1,72.07,25.121,Other
3,3,0,110,50,36.66,129,85.27,0,1,0,16,0, Netherlands,W Madheere,16,0,1,85.27,30.581,High
3,3,1,110,64,55.0,138,79.71,0,1,0,11,1, Sri Lanka,KL Rahul,12,0,1,79.71,27.712999999999997,Other
3,2,0,110,93,55.0,108,101.85,0,1,0,11,0, Ireland,Shakib Al Hasan,11,0,1,101.85,34.05499999999999,High
3,3,0,109,82,36.33,147,74.14,0,1,0,8,3, Bangladesh,SS Iyer,11,0,1,74.14,25.742,Other
4,4,0,109,42,27.25,156,69.87,0,0,0,9,2, Nepal,A ala,11,0,0,69.87,24.261000000000003,Other
6,4,1,109,51,36.33,108,100.92,0,1,0,9,4, New Zealand,Washington Sundar,13,0,1,100.92,34.376,High
4,4,0,108,81,27.0,159,67.92,0,1,1,11,2, Namibia,Aasif Sheikh,13,0,1,87.67,30.400999999999996,High
2,2,0,108,66,54.0,136,79.41,0,1,0,12,3, P.N.G.,SR Taylor,15,0,1,79.41,28.522999999999996,High
4,4,0,106,60,26.5,105,100.95,0,1,0,16,3, U.A.E.,Kushal Malla,19,0,1,100.95,36.185,High
5,5,0,105,35,21.0,169,62.13,0,0,0,9,0, Nepal,A Sharafu,9,0,0,62.13,21.339,Other
6,5,0,104,50,20.8,121,85.95,0,1,0,11,4, U.A.E.,K Bhurtel,15,0,1,85.95,30.485,High
3,3,0,103,51,34.33,85,121.17,0,1,0,9,5, South Africa,MM Ali,14,0,1,121.17,40.751,High
3,3,0,103,72,34.33,132,78.03,0,1,0,16,1, New Zealand,S Dhawan,17,0,1,78.03,28.709,High
3,3,1,103,63,51.5,103,100.0,0,1,0,5,5, Pakistan,GD Phillips,10,0,1,100.0,33.2,High
2,2,0,103,59,51.5,143,72.02,0,1,0,8,3, Namibia,A ala,11,0,1,72.02,25.105999999999998,Other
2,2,0,102,72,51.0,101,100.99,0,1,0,15,1, South Africa,BA King,16,0,1,100.99,35.297,High
2,2,0,102,66,51.0,140,72.85,0,1,0,11,1, Namibia,G Singh,12,0,1,72.85,25.654999999999998,Other
5,5,0,101,64,20.2,166,60.84,0,1,2,13,3, U.A.E.,G Malla,16,0,1,60.84,23.252,Other
3,3,0,101,49,33.66,97,104.12,0,0,0,5,4, England,AK Markram,9,0,0,104.12,33.936,High
3,2,0,100,59,50.0,80,125.0,0,1,0,11,2, Ireland,RP Burl,13,0,1,125.0,41.6,High
4,4,1,100,54,33.33,120,83.33,0,1,2,17,1, Namibia,KJ Coetzer,18,0,1,83.33,30.598999999999997,High
4,4,0,99,60,24.75,96,103.12,0,1,1,5,7, Nepal,N anua,12,0,1,103.12,34.736,High
2,2,0,98,81,49.0,95,103.15,0,1,0,10,5, Scotland,Kushal Malla,15,0,1,103.15,35.645,High
3,2,0,98,73,49.0,111,88.28,0,1,0,4,2, Ireland,Najmul Hossain Shanto,6,0,1,88.28,28.483999999999998,High
2,2,1,96,90,96.0,91,105.49,0,1,0,9,1, Netherlands,T Bauma,10,0,1,105.49,34.847,High
3,3,0,95,71,31.66,114,83.33,0,1,0,6,2, Australia,SW Billings,8,0,1,83.33,27.599,Other
3,3,0,95,77,31.66,118,80.5,0,1,0,7,4, U.A.E.,H Hiri,11,0,1,80.5,27.65,Other
3,3,0,95,73,31.66,108,87.96,0,1,0,6,4, Bangladesh,KL Rahul,10,0,1,87.96,29.587999999999997,High
3,3,0,94,38,31.33,89,105.61,0,0,0,10,2, Sri Lanka,SS Iyer,12,0,0,105.61,35.283,High
3,3,1,94,51,47.0,141,66.66,0,1,0,6,1, Ireland,I Kaia,7,0,1,66.66,22.298,Other
3,2,2,94,94,0.0,101,93.06,0,1,0,7,1, India,KS Williamson,8,0,1,93.06,30.518,High
3,2,1,93,83,93.0,90,103.33,0,1,0,5,4, Afghanistan,KIC Asalanka,9,0,1,103.33,33.899,High
4,3,1,91,56,45.5,118,77.11,0,1,0,9,3, Namibia,B McMullen,12,0,1,77.11,26.933,Other
2,1,0,91,91,91.0,61,149.18,0,1,0,6,4, Netherlands,DA Miller,10,0,1,149.18,47.954,High
3,3,0,91,50,30.33,108,84.25,0,1,0,11,1, Nepal,TP Ura,12,0,1,84.25,29.075,High
3,3,0,90,70,30.0,132,68.18,0,1,0,6,1, England,Mushfiqur Rahim,7,0,1,68.18,22.754,Other
3,3,1,89,51,44.5,71,125.35,0,1,0,15,2, India,TM Head,17,0,1,125.35,42.904999999999994,High
3,3,0,89,54,29.66,116,76.72,0,1,0,7,1, Australia, Kohli,8,0,1,76.72,25.616,Other
6,5,1,89,34,22.25,73,121.91,0,0,0,7,5, New Zealand,SA Yada,12,0,0,121.91,40.173,High
4,3,0,88,36,29.33,150,58.66,0,0,0,8,2, Namibia,RD Berrington,10,0,0,58.66,20.598,Other
3,3,0,88,79,29.33,113,77.87,0,1,1,7,1, India,AK Markram,8,0,1,77.87,25.961000000000002,Other
4,4,0,88,65,22.0,122,72.13,0,1,2,8,1, U.A.E.,A ala,9,0,1,72.13,24.538999999999998,Other
3,2,0,87,84,43.5,120,72.5,0,1,0,7,1, Zimbabwe,ST Doheny,8,0,1,72.5,24.35,Other
3,3,0,87,44,29.0,102,85.29,0,0,0,11,0, Netherlands,CR Erine,11,0,0,85.29,28.887,High
3,3,0,87,60,29.0,123,70.73,0,1,0,4,2, Australia,JM ince,6,0,1,70.73,23.219,Other
3,3,0,86,80,28.66,87,98.85,0,1,1,8,4, South Africa,HC Brook,12,0,1,98.85,33.455,High
2,2,1,86,51,86.0,106,81.13,0,1,0,11,1, U.A.E.,TP Ura,12,0,1,81.13,28.139,Other
2,2,1,86,71,86.0,94,91.48,0,1,0,11,1, U.A.E.,M an Lingen,12,0,1,91.48,31.244,High
4,3,0,85,47,28.33,145,58.62,0,0,0,12,0, Namibia,CM McBride,12,0,0,58.62,21.186,Other
4,3,1,85,32,42.5,108,78.7,0,0,0,5,2, Nepal,B McMullen,7,0,0,78.7,25.71,Other
4,4,0,84,50,21.0,125,67.2,0,1,1,6,1, Nepal,Aryan Lakra,7,0,1,67.2,22.46,Other
2,2,1,84,71,84.0,113,74.33,0,1,0,9,2, P.N.G.,MG Erasmus,11,0,1,74.33,25.799,Other
3,3,1,83,45,41.5,75,110.66,0,0,0,6,2, New Zealand,Agha Salman,8,0,0,110.66,35.598,High
4,4,0,83,29,20.75,152,54.6,0,0,0,10,1, Nepal,K Doriga,11,0,0,54.6,19.68,Other
4,4,0,82,33,20.5,127,64.56,0,0,1,10,0, P.N.G., Araind,10,0,0,64.56,22.368,Other
3,3,1,82,64,41.0,101,81.18,0,1,0,12,0, Netherlands,GS Ballance,12,0,1,81.18,28.154000000000003,Other
3,2,0,82,54,41.0,76,107.89,0,1,0,6,3, New Zealand,HH Pandya,9,0,1,107.89,35.266999999999996,High
2,2,0,80,50,40.0,75,106.66,0,1,0,3,4, England,MR Marsh,7,0,1,106.66,34.297999999999995,High
3,3,0,80,43,26.66,108,74.07,0,0,0,8,0, India,Shakib Al Hasan,8,0,0,74.07,24.620999999999995,Other
3,3,0,80,49,26.66,90,88.88,0,0,0,13,0, South Africa,Shubman Gill,13,0,0,88.88,30.563999999999997,High
3,3,1,79,45,39.5,141,56.02,0,0,0,7,0, Australia,RA Jadeja,7,0,0,56.02,18.906000000000002,Other
2,2,0,78,61,39.0,102,76.47,0,1,0,9,3, South Africa,Musa Ahmed,12,0,1,76.47,26.741,Other
2,2,0,78,39,39.0,82,95.12,0,0,0,6,3, South Africa,N Pooran,9,0,0,95.12,31.236,High
2,2,1,78,51,78.0,59,132.2,0,1,0,7,6, Bangladesh,RG Sharma,13,0,1,132.2,43.76,High
3,3,0,77,36,25.66,80,96.25,0,0,0,7,1, Zimbabwe,SA Edwards,8,0,0,96.25,31.275,High
2,2,0,77,74,38.5,97,79.38,0,1,0,9,1, India,RR Hendricks,10,0,1,79.38,27.013999999999996,Other
3,3,0,77,41,25.66,112,68.75,0,0,0,8,2, India,Litton Das,10,0,0,68.75,23.625,Other
4,4,1,77,67,25.66,116,66.37,0,1,1,3,2, Scotland,JN Loftie0Eaton,5,0,1,66.37,21.611,Other
2,2,0,76,56,38.0,73,104.1,0,1,0,3,4, Bangladesh,AR Patel,7,0,1,104.1,33.529999999999994,High
2,2,0,75,52,37.5,95,78.94,0,1,0,4,0, Ireland,GS Ballance,4,0,1,78.94,25.081999999999997,Other
2,2,0,75,74,37.5,88,85.22,0,1,0,9,0, Zimbabwe,TLW Cooper,9,0,1,85.22,28.465999999999998,Other
2,2,1,73,53,73.0,88,82.95,0,1,0,1,1, P.N.G.,Aaron Jones,2,0,1,82.95,25.685000000000002,Other
3,3,0,73,37,24.33,75,97.33,0,0,0,5,1, Pakistan,MJ Santner,6,0,0,97.33,30.999,High
3,3,0,72,36,24.0,98,73.46,0,0,0,3,1, Pakistan,DJ Mitchell,4,0,0,73.46,23.237999999999996,Other
1,1,0,72,72,72.0,80,90.0,0,1,0,11,0, India,P Nissanka,11,0,1,90.0,30.5,High
4,4,0,71,25,17.75,106,66.98,0,0,0,9,0, Scotland,ZE Green,9,0,0,66.98,22.794,Other
3,3,0,71,32,23.66,106,66.98,0,0,0,6,1, England,Mahmudullah,7,0,0,66.98,22.194000000000003,Other
2,2,1,71,60,71.0,163,43.55,0,1,0,3,0, Namibia,CP Rizwan,3,0,1,43.55,14.165,Low
3,3,1,70,58,35.0,65,107.69,0,1,0,5,1, England,M Labuschagne,6,0,1,107.69,34.306999999999995,High
3,3,1,70,67,35.0,74,94.59,0,1,0,8,1, Afghanistan,BKG Mendis,9,0,1,94.59,31.276999999999997,High
2,2,0,69,50,34.5,90,76.66,0,1,0,10,0, India,MNK Fernando,10,0,1,76.66,26.197999999999997,Other
3,3,0,69,35,23.0,103,66.99,0,0,0,9,0, England,Tamim Iqbal,9,0,0,66.99,22.796999999999997,Other
3,3,1,69,52,34.5,89,77.52,0,1,0,9,1, Scotland,HN Ya France,10,0,1,77.52,26.455999999999996,Other
2,2,0,68,37,34.0,69,98.55,0,0,0,9,2, England,Q de Kock,11,0,0,98.55,32.864999999999995,High
2,2,0,68,41,34.0,90,75.55,0,0,0,4,3, U.S.A.,MG Erasmus,7,0,0,75.55,24.765,Other
3,2,0,68,66,34.0,49,138.77,0,1,0,10,2, Afghanistan,PW Hasaranga,12,0,1,138.77,45.431,High
2,2,0,68,62,34.0,61,111.47,0,1,0,7,4, Namibia,Kushal Malla,11,0,1,111.47,36.940999999999995,High
3,2,0,68,43,34.0,66,103.03,0,0,0,7,1, Ireland,Sikandar Raza,8,0,0,103.03,33.309,High
2,2,0,67,59,33.5,100,67.0,0,1,0,8,1, U.S.A.,D la Cock,9,0,1,67.0,22.999999999999996,Other
3,3,1,67,41,33.5,81,82.71,0,0,0,9,2, Ireland,Tamim Iqbal,11,0,0,82.71,28.113,Other
3,3,0,67,37,22.33,89,75.28,0,0,0,5,1, Bangladesh,Washington Sundar,6,0,0,75.28,24.384,Other
2,2,0,66,50,33.0,114,57.89,0,1,0,6,2, Namibia,K Doriga,8,0,1,57.89,19.967000000000002,Other
2,2,0,66,57,33.0,74,89.18,0,1,0,10,1, New Zealand,P Nissanka,11,0,1,89.18,30.254,High
3,3,0,66,40,22.0,74,89.18,0,0,0,6,2, Australia,HH Pandya,8,0,0,89.18,29.154,High
2,2,0,66,45,33.0,71,92.95,0,0,0,9,3, South Africa,ikramjit Singh,12,0,0,92.95,31.485,High
2,2,0,65,47,32.5,76,85.52,0,0,0,10,0, South Africa,MP O'Dowd,10,0,0,85.52,28.656,High
3,3,0,64,32,21.33,69,92.75,0,0,0,3,2, New Zealand,Haris Sohail,5,0,0,92.75,29.325,High
6,6,0,64,22,10.66,111,57.65,0,0,0,5,0, Nepal,CP Rizwan,5,0,0,57.65,18.794999999999998,Other
4,4,0,63,31,15.75,114,55.26,0,0,0,7,0, Nepal,S Bau,7,0,0,55.26,18.678,Other
4,4,0,63,31,15.75,119,52.94,0,0,0,4,1, Nepal,H Hiri,5,0,0,52.94,17.381999999999998,Other
4,3,0,63,40,21.0,72,87.5,0,0,0,5,1, Nepal,JN Loftie0Eaton,6,0,0,87.5,28.05,Other
2,2,0,63,57,31.5,84,75.0,0,1,0,9,1, Namibia,TP Ura,10,0,1,75.0,25.7,Other
3,3,0,62,25,20.66,100,62.0,0,0,0,10,0, India,JN Malan,10,0,0,62.0,21.599999999999998,Other
3,3,0,62,42,20.66,91,68.13,0,0,0,6,2, India,HM Nicholls,8,0,0,68.13,22.838999999999995,Other
2,2,0,62,38,31.0,74,83.78,0,0,0,3,4, Scotland,JJ Smit,7,0,0,83.78,27.234,Other
3,3,1,62,49,31.0,49,126.53,0,0,0,5,4, Nepal,HN Ya France,9,0,0,126.53,40.659,High
4,3,0,61,29,20.33,61,100.0,0,0,0,3,4, Namibia,MA Leask,7,0,0,100.0,32.1,High
4,4,0,60,51,15.0,110,54.54,0,1,1,6,1, P.N.G.,Aryan Lakra,7,0,1,54.54,18.662,Other
2,2,0,60,43,30.0,47,127.65,0,0,0,8,2, West Indies,M Jansen,10,0,0,127.65,41.295,High
3,3,0,60,42,20.0,77,77.92,0,0,0,4,0, Pakistan,TWM Latham,4,0,0,77.92,24.576,Other
4,3,0,60,41,20.0,102,58.82,0,0,0,11,0, Nepal,L Louwrens,11,0,0,58.82,20.946,Other
3,3,0,60,51,20.0,116,51.72,0,1,1,6,0, U.A.E.,A Saud,6,0,1,51.72,17.516,Other
3,3,0,59,48,19.66,72,81.94,0,0,0,7,0, India,Q de Kock,7,0,0,81.94,26.682,Other
2,2,0,59,40,29.5,76,77.63,0,0,0,4,0, Namibia,IG Holland,4,0,0,77.63,24.488999999999997,Other
4,4,0,59,25,14.75,88,67.04,0,0,0,10,0, Scotland,G Malla,10,0,0,67.04,23.112000000000002,Other
4,4,1,59,29,19.66,121,48.76,0,0,0,7,0, P.N.G.,CP Rizwan,7,0,0,48.76,16.727999999999998,Other
3,2,0,59,43,29.5,71,83.09,0,0,0,7,0, Afghanistan,MD Shanaka,7,0,0,83.09,27.027,Other
3,3,1,59,49,29.5,41,143.9,0,0,1,1,6, U.A.E.,N anua,7,0,0,143.9,45.27,High
3,3,0,58,42,19.33,72,80.55,0,0,0,4,2, Bangladesh,MM Ali,6,0,0,80.55,25.965,Other
3,3,0,58,43,19.33,62,93.54,0,0,0,4,2, Pakistan,MG Bracewell,6,0,0,93.54,29.862000000000002,High
3,2,0,58,45,29.0,86,67.44,0,0,0,6,2, Zimbabwe,PR Stirling,8,0,0,67.44,22.631999999999998,Other
4,3,0,57,42,19.0,110,51.81,0,0,0,5,1, Nepal,MH Cross,6,0,0,51.81,17.343,Other
3,3,0,57,37,19.0,82,69.51,0,0,1,7,1, Australia,Shubman Gill,8,0,0,69.51,23.253,Other
2,2,0,56,40,28.0,83,67.46,0,0,0,7,0, Ireland,CJ Chibhabha,7,0,0,67.46,22.337999999999997,Other
2,2,1,56,33,56.0,68,82.35,0,0,0,3,4, Bangladesh,SM Curran,7,0,0,82.35,26.805,Other
3,3,0,56,28,18.66,43,130.23,0,0,0,1,5, South Africa,SM Curran,6,0,0,130.23,40.86899999999999,High
2,2,0,56,31,28.0,81,69.13,0,0,0,8,0, Netherlands,HE an der Dussen,8,0,0,69.13,23.138999999999996,Other
2,2,0,56,33,28.0,70,80.0,0,0,0,8,0, U.S.A.,M an Lingen,8,0,0,80.0,26.4,Other
